,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Modified.Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Modified.Employment.Length,Modified.Interest.Rate,Label
1088,12000,12000,36 months,home_improvement,0.1457,MA,MORTGAGE,5833.33,707.0,7,2701,0.0,9.0,0.11359999999999999,Normal Interest Rate
1089,25450,25425,60 months,credit_card,0.2638,NC,RENT,4416.67,722.0,13,31828,2.0,3.0,0.1399,Normal Interest Rate
1090,6000,3475,36 months,debt_consolidation,0.1023,MD,RENT,6500.0,642.0,6,4103,0.0,1.0,0.147,Higher Interest Rate
1092,5000,5000,36 months,debt_consolidation,0.134,CA,RENT,2000.0,697.0,9,1753,0.0,2.0,0.1261,Normal Interest Rate
1093,10000,10000,36 months,debt_consolidation,0.2983,OR,RENT,4166.67,712.0,9,22207,0.0,2.0,0.1016,Lower Interest Rate
1094,6000,6000,36 months,credit_card,0.0816,PA,RENT,3333.33,682.0,6,8442,0.0,12.0,0.12119999999999999,Normal Interest Rate
1095,14075,14075,36 months,other,0.12960000000000002,NY,RENT,3033.33,692.0,6,13036,0.0,8.0,0.1875,Higher Interest Rate
1096,20000,19975,36 months,debt_consolidation,0.1509,NC,RENT,8233.33,712.0,17,29756,2.0,0.5,0.1311,Normal Interest Rate
1097,9000,9000,36 months,debt_consolidation,0.1223,VA,MORTGAGE,5000.0,752.0,13,5224,0.0,7.0,0.0603,Lower Interest Rate
1098,7000,6965.1,36 months,debt_consolidation,0.17079999999999998,NJ,RENT,5000.0,667.0,11,13859,0.0,3.0,0.19469999999999998,Higher Interest Rate
1099,19750,19725,36 months,debt_consolidation,0.2414,VA,MORTGAGE,5166.67,682.0,12,33368,2.0,12.0,0.15960000000000002,Higher Interest Rate
1100,6000,6000,36 months,vacation,0.0151,MD,OWN,4250.0,802.0,14,1838,0.0,12.0,0.0542,Lower Interest Rate
1101,10000,10000,36 months,small_business,0.1303,FL,RENT,5000.0,762.0,8,3952,0.0,2.0,0.0603,Lower Interest Rate
1102,14400,13714.83,60 months,debt_consolidation,0.0706,NY,RENT,5000.0,672.0,6,715,4.0,3.0,0.17559999999999998,Higher Interest Rate
1103,10000,10000,36 months,debt_consolidation,0.1661,OH,MORTGAGE,4083.33,677.0,15,6418,2.0,6.0,0.1427,Normal Interest Rate
1104,7900,7782.65,36 months,credit_card,0.152,CA,MORTGAGE,7583.33,812.0,14,3950,0.0,12.0,0.0859,Lower Interest Rate
1105,5100,4950,36 months,debt_consolidation,0.25670000000000004,NJ,RENT,3000.0,642.0,14,5004,6.0,0.5,0.18289999999999998,Higher Interest Rate
1106,6000,6000,36 months,debt_consolidation,0.1968,NJ,RENT,7500.0,682.0,6,6686,1.0,12.0,0.1349,Normal Interest Rate
1107,16200,16200,60 months,debt_consolidation,0.07919999999999999,PA,MORTGAGE,4833.33,682.0,12,12313,2.0,12.0,0.158,Higher Interest Rate
1108,5000,5000,36 months,credit_card,0.1574,TX,RENT,3125.0,767.0,11,4557,0.0,6.0,0.0603,Lower Interest Rate
1109,19500,19500,36 months,debt_consolidation,0.26839999999999997,VA,MORTGAGE,5125.0,662.0,11,29033,0.0,12.0,0.21,Higher Interest Rate
1110,1800,1800,36 months,small_business,0.04190000000000001,AL,RENT,4246.67,662.0,2,0,0.0,9.0,0.1602,Higher Interest Rate
1111,27000,26993.89,60 months,home_improvement,0.18280000000000002,FL,OWN,4833.33,737.0,18,12588,1.0,7.0,0.1427,Normal Interest Rate
1112,6250,900,36 months,debt_consolidation,0.1985,IN,RENT,2916.67,657.0,17,17659,9.0,0.5,0.1754,Higher Interest Rate
1113,35000,35000,36 months,home_improvement,0.09300000000000001,PA,MORTGAGE,8300.0,742.0,7,4421,1.0,12.0,0.1074,Lower Interest Rate
1114,9600,9600,36 months,debt_consolidation,0.265,TX,RENT,5166.67,672.0,14,5639,0.0,3.0,0.1629,Higher Interest Rate
1115,5375,5325,36 months,debt_consolidation,0.20929999999999999,NV,RENT,3000.0,732.0,7,5640,0.0,3.0,0.0662,Lower Interest Rate
1116,25000,25000,36 months,debt_consolidation,0.0105,CA,MORTGAGE,16666.67,707.0,7,2839,0.0,12.0,0.1242,Normal Interest Rate
1117,12000,11975,36 months,debt_consolidation,0.0981,TX,RENT,4333.33,672.0,12,12837,1.0,2.0,0.1777,Higher Interest Rate
1118,14500,14500,36 months,debt_consolidation,0.2829,WA,MORTGAGE,5988.67,702.0,12,18020,2.0,12.0,0.1311,Normal Interest Rate
1119,7500,7500,36 months,debt_consolidation,0.08039999999999999,NJ,RENT,2796.8,692.0,4,4788,0.0,7.0,0.1311,Normal Interest Rate
1120,14000,14000,36 months,debt_consolidation,0.0347,CA,MORTGAGE,8750.0,682.0,6,9035,1.0,12.0,0.1465,Higher Interest Rate
1121,12000,12000,60 months,credit_card,0.1685,VA,RENT,4333.33,702.0,15,17997,1.0,0.5,0.1527,Higher Interest Rate
1122,10000,10000,36 months,debt_consolidation,0.1358,FL,MORTGAGE,4166.67,717.0,8,8455,0.0,12.0,0.0849,Lower Interest Rate
1123,27000,26975,60 months,debt_consolidation,0.1948,AL,MORTGAGE,6500.0,717.0,9,16294,1.0,12.0,0.1855,Higher Interest Rate
1124,12375,275,36 months,small_business,0.16390000000000002,VA,MORTGAGE,3892.75,692.0,11,8332,2.0,3.0,0.1091,Lower Interest Rate
1125,25000,23655.48,60 months,debt_consolidation,0.1411,CO,MORTGAGE,7666.67,707.0,15,28748,3.0,8.0,0.16690000000000002,Higher Interest Rate
1126,24375,24300,60 months,debt_consolidation,0.3061,PA,MORTGAGE,4708.33,702.0,18,49136,0.0,12.0,0.158,Higher Interest Rate
1127,3500,3500,36 months,major_purchase,0.0536,NC,MORTGAGE,7083.0,667.0,6,11616,0.0,12.0,0.12689999999999999,Normal Interest Rate
1128,10000,9975,60 months,credit_card,0.177,IL,MORTGAGE,5416.67,707.0,10,41329,0.0,12.0,0.1649,Higher Interest Rate
1129,6000,6000,36 months,debt_consolidation,0.07769999999999999,NY,MORTGAGE,3666.67,782.0,19,6275,1.0,4.0,0.0603,Lower Interest Rate
1130,10000,9325,36 months,other,0.0625,FL,MORTGAGE,6666.67,752.0,10,3248,0.0,0.5,0.0832,Lower Interest Rate
1131,6400,6400,60 months,debt_consolidation,0.2443,NY,RENT,3500.0,692.0,9,973,0.0,4.0,0.15990000000000001,Higher Interest Rate
1132,12000,12000,36 months,debt_consolidation,0.1422,CO,MORTGAGE,8791.67,697.0,10,17185,2.0,8.0,0.1016,Lower Interest Rate
1133,20000,19950,60 months,credit_card,0.2354,CA,MORTGAGE,5000.0,707.0,10,20062,3.0,12.0,0.15960000000000002,Higher Interest Rate
1134,3000,2322.59,36 months,major_purchase,0.1895,OK,MORTGAGE,3466.67,662.0,9,4285,3.0,2.0,0.1505,Higher Interest Rate
1135,9800,9747.5,36 months,credit_card,0.08960000000000001,OR,RENT,2333.33,732.0,8,11459,0.0,5.0,0.0729,Lower Interest Rate
1136,35000,35000,36 months,debt_consolidation,0.19899999999999998,FL,MORTGAGE,13933.33,722.0,18,24288,0.0,1.0,0.12119999999999999,Normal Interest Rate
1137,16000,16000,36 months,debt_consolidation,0.18230000000000002,NY,RENT,4166.67,702.0,14,16309,0.0,1.0,0.12119999999999999,Normal Interest Rate
1138,25000,24814.89,60 months,wedding,0.0383,NY,MORTGAGE,22916.67,722.0,13,34069,0.0,12.0,0.12689999999999999,Normal Interest Rate
1139,10000,10000,36 months,debt_consolidation,0.0959,MA,RENT,1658.0,682.0,3,4902,0.0,0.5,0.1714,Higher Interest Rate
1140,16750,16750,60 months,debt_consolidation,0.2188,HI,RENT,2833.33,667.0,12,7903,0.0,3.0,0.2148,Higher Interest Rate
1141,5000,5000,36 months,debt_consolidation,0.0304,NY,OWN,2500.0,737.0,5,4864,0.0,3.0,0.0762,Lower Interest Rate
1142,8000,7825,36 months,credit_card,0.0812,FL,RENT,5417.0,732.0,5,43799,2.0,1.0,0.1183,Normal Interest Rate
1143,5950,5950,36 months,credit_card,0.21539999999999998,FL,MORTGAGE,5000.0,692.0,9,47746,0.0,12.0,0.12119999999999999,Normal Interest Rate
1144,9800,9675,36 months,major_purchase,0.1499,HI,MORTGAGE,3583.33,762.0,12,5164,0.0,3.0,0.0859,Lower Interest Rate
1145,20000,20000,60 months,home_improvement,0.17079999999999998,TX,MORTGAGE,5000.0,677.0,5,19780,1.0,2.0,0.2198,Higher Interest Rate
1146,20000,19975,60 months,debt_consolidation,0.1616,MN,MORTGAGE,5000.0,712.0,13,20337,3.0,12.0,0.1649,Higher Interest Rate
1147,9000,9000,60 months,debt_consolidation,0.1574,SC,MORTGAGE,4333.33,672.0,9,5015,0.0,6.0,0.1991,Higher Interest Rate
1148,25000,25000,60 months,debt_consolidation,0.0915,NY,RENT,5833.33,692.0,7,14953,0.0,9.0,0.20489999999999997,Higher Interest Rate
1149,10750,10166.42,36 months,credit_card,0.1191,MA,MORTGAGE,4416.67,722.0,9,12619,1.0,2.0,0.1114,Lower Interest Rate
1150,30225,30225,36 months,credit_card,0.2815,TX,MORTGAGE,8333.33,712.0,21,28631,0.0,12.0,0.1777,Higher Interest Rate
1151,16500,16500,36 months,debt_consolidation,0.22649999999999998,CA,MORTGAGE,5416.67,817.0,17,14835,0.0,12.0,0.0603,Lower Interest Rate
1152,15200,13694.22,36 months,credit_card,0.145,AZ,MORTGAGE,7916.67,762.0,7,217827,2.0,6.0,0.1114,Lower Interest Rate
1153,11625,11625,36 months,debt_consolidation,0.1673,CA,RENT,2833.33,697.0,8,17469,0.0,12.0,0.1531,Higher Interest Rate
1154,15000,14675,36 months,home_improvement,0.0053,VA,MORTGAGE,10417.0,782.0,8,1343,1.0,0.5,0.0788,Lower Interest Rate
1155,10000,10000,60 months,debt_consolidation,0.16469999999999999,FL,RENT,4104.67,697.0,5,7597,0.0,5.0,0.18489999999999998,Higher Interest Rate
1156,20000,20000,36 months,debt_consolidation,0.08380000000000001,CO,MORTGAGE,15000.0,752.0,11,14621,2.0,1.0,0.079,Lower Interest Rate
1157,6000,6000,36 months,major_purchase,0.1268,TX,MORTGAGE,6666.67,777.0,13,8581,0.0,12.0,0.0603,Lower Interest Rate
1158,14000,13900.25,60 months,debt_consolidation,0.1195,OH,RENT,4333.33,742.0,6,7419,0.0,9.0,0.10369999999999999,Lower Interest Rate
1159,5300,5300,36 months,credit_card,0.2488,CT,RENT,2500.0,662.0,11,7855,2.0,1.0,0.1527,Higher Interest Rate
1160,14400,14400,36 months,wedding,0.1789,FL,RENT,13100.0,747.0,11,14550,0.0,4.0,0.079,Lower Interest Rate
1161,10000,10000,36 months,debt_consolidation,0.10400000000000001,CA,RENT,9000.0,667.0,12,5141,0.0,12.0,0.1531,Higher Interest Rate
1162,9000,9000,36 months,credit_card,0.1588,NY,RENT,5000.0,677.0,7,4532,1.0,12.0,0.1531,Higher Interest Rate
1163,2500,2500,36 months,debt_consolidation,0.16449999999999998,WI,RENT,1100.0,672.0,6,5019,1.0,4.0,0.1298,Normal Interest Rate
1164,12000,12000,36 months,debt_consolidation,0.2232,CA,RENT,4575.08,677.0,13,8048,2.0,0.5,0.1777,Higher Interest Rate
1165,4800,4800,36 months,credit_card,0.1891,IL,MORTGAGE,5833.33,697.0,13,29287,1.0,5.0,0.1433,Normal Interest Rate
1166,10450,10450,36 months,debt_consolidation,0.2133,TX,RENT,2658.83,707.0,10,13371,1.0,12.0,0.1311,Normal Interest Rate
1167,16000,15975,36 months,debt_consolidation,0.32909999999999995,OH,OWN,3333.33,697.0,10,24134,1.0,2.0,0.1629,Higher Interest Rate
1168,17000,17000,36 months,debt_consolidation,0.17010000000000003,CO,RENT,3833.33,687.0,6,15484,1.0,6.0,0.15810000000000002,Higher Interest Rate
1169,5750,5750,36 months,credit_card,0.24239999999999998,NY,RENT,1675.0,707.0,18,8035,0.0,4.0,0.1311,Normal Interest Rate
1170,20000,20000,36 months,small_business,0.21420000000000003,TX,MORTGAGE,5000.0,757.0,6,6264,1.0,7.0,0.079,Lower Interest Rate
1171,7200,7200,36 months,debt_consolidation,0.0892,FL,MORTGAGE,4416.67,677.0,10,4137,0.0,2.0,0.10369999999999999,Lower Interest Rate
1172,18000,18000,36 months,credit_card,0.18359999999999999,GA,RENT,5833.33,732.0,16,12522,0.0,0.5,0.079,Lower Interest Rate
1173,6725,825,36 months,debt_consolidation,0.1316,MO,MORTGAGE,5000.0,672.0,10,5513,9.0,12.0,0.13119999999999998,Normal Interest Rate
1174,10000,10000,36 months,debt_consolidation,0.1241,PA,MORTGAGE,4166.67,682.0,6,31212,0.0,8.0,0.1777,Higher Interest Rate
1175,14000,14000,60 months,debt_consolidation,0.10400000000000001,NJ,MORTGAGE,11333.33,747.0,6,27477,0.0,4.0,0.1,Lower Interest Rate
1176,5000,512.46,36 months,debt_consolidation,0.1629,CA,RENT,3333.0,667.0,11,14244,2.0,2.0,0.1292,Normal Interest Rate
1177,15000,14975,36 months,car,0.2073,NY,RENT,5416.67,747.0,14,9756,0.0,1.0,0.079,Lower Interest Rate
1178,3000,3000,36 months,debt_consolidation,0.1521,PA,RENT,3083.33,712.0,11,3098,0.0,2.0,0.1038,Lower Interest Rate
1179,12000,11854.04,36 months,debt_consolidation,0.0462,NY,RENT,4500.0,697.0,3,7956,0.0,12.0,0.1474,Higher Interest Rate
1181,15000,14875,36 months,debt_consolidation,0.1449,CA,RENT,5000.0,667.0,12,10679,1.0,0.5,0.1905,Higher Interest Rate
1182,10000,9975,60 months,debt_consolidation,0.22690000000000002,NV,MORTGAGE,5623.33,767.0,11,26898,1.0,12.0,0.1149,Normal Interest Rate
1183,35000,35000,60 months,debt_consolidation,0.1184,TX,MORTGAGE,18750.0,717.0,14,41707,2.0,1.0,0.20489999999999997,Higher Interest Rate
1184,10000,10000,36 months,debt_consolidation,0.0584,PA,RENT,4333.33,697.0,6,4665,0.0,1.0,0.12119999999999999,Normal Interest Rate
1185,24575,24550,36 months,credit_card,0.1928,CO,MORTGAGE,5166.67,667.0,8,23157,0.0,12.0,0.20489999999999997,Higher Interest Rate
1186,1400,1400,36 months,medical,0.0305,OR,RENT,2750.0,682.0,3,1276,0.0,1.0,0.1427,Normal Interest Rate
1187,24000,23925,60 months,credit_card,0.1177,NJ,MORTGAGE,7800.0,677.0,11,20676,3.0,2.0,0.1629,Higher Interest Rate
1188,18225,18225,60 months,debt_consolidation,0.32189999999999996,AL,MORTGAGE,7166.67,707.0,19,29219,2.0,4.0,0.1629,Higher Interest Rate
1189,10000,10000,36 months,debt_consolidation,0.1042,NY,RENT,5000.0,722.0,6,5510,2.0,3.0,0.1074,Lower Interest Rate
1190,12000,12000,36 months,credit_card,0.0946,CA,MORTGAGE,5833.33,742.0,9,12028,0.0,8.0,0.0662,Lower Interest Rate
1191,17000,16750,60 months,car,0.1791,MD,MORTGAGE,8500.0,752.0,9,10324,3.0,5.0,0.1112,Lower Interest Rate
1192,3000,3000,36 months,other,0.2874,CA,MORTGAGE,7116.25,662.0,7,7416,0.0,12.0,0.1905,Higher Interest Rate
1193,15000,14993.57,60 months,debt_consolidation,0.1365,CA,RENT,2916.67,707.0,4,12786,0.0,0.5,0.1825,Higher Interest Rate
1194,15000,15000,36 months,debt_consolidation,0.0872,MA,MORTGAGE,12000.0,802.0,17,13151,0.0,2.0,0.0603,Lower Interest Rate
1195,10000,10000,60 months,debt_consolidation,0.12539999999999998,MA,RENT,4417.0,682.0,9,6630,2.0,3.0,0.16820000000000002,Higher Interest Rate
1196,17000,15865.55,36 months,debt_consolidation,0.0665,AZ,MORTGAGE,6333.33,762.0,7,6542,1.0,7.0,0.1114,Lower Interest Rate
1197,15000,10150.07,36 months,other,0.0268,IL,OWN,2500.0,682.0,6,3004,2.0,1.0,0.1568,Higher Interest Rate
1198,12000,7595.31,36 months,small_business,0.1107,CT,RENT,3333.33,717.0,7,17495,0.0,1.0,0.1158,Normal Interest Rate
1199,15000,15000,36 months,debt_consolidation,0.1862,PA,MORTGAGE,4500.0,742.0,10,17212,0.0,7.0,0.079,Lower Interest Rate
1200,6000,6000,36 months,credit_card,0.2457,CA,RENT,6666.67,687.0,22,6462,0.0,2.0,0.08900000000000001,Lower Interest Rate
1201,7000,7000,36 months,debt_consolidation,0.1815,WV,RENT,4750.0,667.0,11,12307,1.0,0.5,0.1777,Higher Interest Rate
1202,25000,15051.09,60 months,debt_consolidation,0.2011,TX,MORTGAGE,6666.67,737.0,11,33084,0.0,12.0,0.1323,Normal Interest Rate
1203,4000,4000,36 months,home_improvement,0.15,CT,RENT,4234.0,747.0,5,587,1.0,2.0,0.0617,Lower Interest Rate
1204,8000,7900,60 months,debt_consolidation,0.2016,NY,RENT,4500.0,667.0,10,2786,1.0,5.0,0.1595,Higher Interest Rate
1205,7800,7800,36 months,debt_consolidation,0.07150000000000001,CO,MORTGAGE,4000.0,722.0,6,11063,2.0,9.0,0.1065,Lower Interest Rate
1206,25000,25000,60 months,credit_card,0.2846,VA,RENT,5833.33,692.0,20,33127,0.0,1.0,0.1905,Higher Interest Rate
1207,27575,27575,60 months,debt_consolidation,0.18280000000000002,WA,MORTGAGE,7833.33,682.0,20,28055,2.0,7.0,0.1727,Higher Interest Rate
1208,12000,12000,36 months,credit_card,0.0451,CA,RENT,3500.0,727.0,16,6015,1.0,0.5,0.0791,Lower Interest Rate
1209,4000,4000,36 months,credit_card,0.11800000000000001,NY,RENT,5416.67,687.0,12,6616,1.0,1.0,0.1311,Normal Interest Rate
1210,3000,2950,36 months,major_purchase,0.2774,VA,MORTGAGE,4333.33,717.0,6,6346,0.0,5.0,0.1114,Lower Interest Rate
1211,8400,8400,36 months,renewable_energy,0.133,MD,RENT,3000.0,747.0,9,6998,1.0,1.0,0.0692,Lower Interest Rate
1212,4500,4500,36 months,car,0.0123,CA,RENT,11500.0,672.0,5,1847,1.0,1.0,0.1343,Normal Interest Rate
1214,9000,9000,36 months,wedding,0.2488,CA,MORTGAGE,5000.0,702.0,12,4621,3.0,6.0,0.1311,Normal Interest Rate
1215,9425,9425,36 months,credit_card,0.15710000000000002,CA,RENT,3750.0,672.0,12,15116,0.0,8.0,0.1349,Normal Interest Rate
1216,3600,3600,60 months,car,0.22219999999999998,KS,MORTGAGE,3200.0,682.0,13,11702,0.0,0.5,0.1972,Higher Interest Rate
1217,14400,14400,36 months,credit_card,0.1075,CA,RENT,5000.0,682.0,13,19772,0.0,8.0,0.1311,Normal Interest Rate
1219,12000,12000,36 months,debt_consolidation,0.0984,NY,MORTGAGE,7500.0,667.0,11,15866,0.0,7.0,0.1777,Higher Interest Rate
1220,8000,8000,36 months,other,0.1185,MD,RENT,3941.58,672.0,15,9660,0.0,2.0,0.1433,Normal Interest Rate
1221,9325,9300,36 months,debt_consolidation,0.21350000000000002,DC,RENT,3333.33,697.0,10,27007,1.0,0.5,0.1409,Normal Interest Rate
1222,12000,11975,60 months,debt_consolidation,0.205,CA,MORTGAGE,5916.67,692.0,11,8244,0.0,7.0,0.1446,Normal Interest Rate
1223,18000,18000,60 months,debt_consolidation,0.053,OK,MORTGAGE,8333.33,757.0,8,5211,1.0,6.0,0.08900000000000001,Lower Interest Rate
1225,16075,16075,36 months,debt_consolidation,0.17579999999999998,KS,MORTGAGE,4125.0,697.0,7,15781,1.0,2.0,0.1629,Higher Interest Rate
1226,10000,10000,36 months,debt_consolidation,0.17149999999999999,AZ,MORTGAGE,10416.67,672.0,12,12492,4.0,12.0,0.1409,Normal Interest Rate
1227,16000,16000,60 months,debt_consolidation,0.14880000000000002,OK,MORTGAGE,7916.67,697.0,9,22918,2.0,12.0,0.1311,Normal Interest Rate
1228,6000,5975,36 months,wedding,0.0106,NY,RENT,5000.0,767.0,6,7161,0.0,3.0,0.08,Lower Interest Rate
1229,4200,4200,36 months,debt_consolidation,0.0658,IL,RENT,5133.33,767.0,4,5475,1.0,4.0,0.0729,Lower Interest Rate
1230,8000,8000,36 months,credit_card,0.16219999999999998,OK,RENT,4166.67,677.0,12,16838,0.0,5.0,0.1409,Normal Interest Rate
1231,20125,20125,36 months,debt_consolidation,0.1788,FL,MORTGAGE,10353.33,697.0,11,23698,1.0,7.0,0.1465,Higher Interest Rate
1232,7500,7500,36 months,debt_consolidation,0.12539999999999998,CA,MORTGAGE,4600.0,667.0,3,6120,0.0,2.0,0.1632,Higher Interest Rate
1233,16000,16000,60 months,debt_consolidation,0.08439999999999999,NY,RENT,4666.67,697.0,9,15200,0.0,12.0,0.1727,Higher Interest Rate
1234,8875,8875,36 months,debt_consolidation,0.317,TX,RENT,2160.0,702.0,19,17422,0.0,12.0,0.1114,Lower Interest Rate
1235,5000,5000,60 months,car,0.1671,PA,RENT,2400.0,672.0,6,2023,1.0,3.0,0.17489999999999997,Higher Interest Rate
1236,10000,10000,36 months,debt_consolidation,0.059500000000000004,NJ,OWN,5000.0,702.0,5,10752,0.0,4.0,0.12119999999999999,Normal Interest Rate
1237,20000,19975,36 months,debt_consolidation,0.1185,CA,RENT,9166.67,687.0,10,12421,3.0,0.5,0.1629,Higher Interest Rate
1238,3600,3575,36 months,small_business,0.0004,WI,RENT,2500.0,727.0,4,1,0.0,3.0,0.1411,Normal Interest Rate
1239,20000,20000,60 months,debt_consolidation,0.1776,MN,MORTGAGE,4853.33,722.0,12,1207,0.0,8.0,0.1311,Normal Interest Rate
1240,11575,11575,60 months,debt_consolidation,0.1837,NY,MORTGAGE,3750.0,727.0,12,18790,1.0,12.0,0.1311,Normal Interest Rate
1241,14500,14500,36 months,debt_consolidation,0.1797,CA,RENT,3500.0,682.0,7,10846,0.0,6.0,0.1433,Normal Interest Rate
1242,5000,5000,36 months,home_improvement,0.2706,LA,MORTGAGE,3333.33,722.0,16,11746,0.0,8.0,0.079,Lower Interest Rate
1243,12000,12000,36 months,debt_consolidation,0.18239999999999998,TX,MORTGAGE,3333.33,677.0,12,6209,1.0,7.0,0.1531,Higher Interest Rate
1244,21000,6165.31,36 months,home_improvement,0.21280000000000002,CA,OWN,18333.33,747.0,31,270800,5.0,2.0,0.1109,Lower Interest Rate
1246,24000,24000,36 months,debt_consolidation,0.2087,TX,MORTGAGE,10166.67,752.0,15,29523,1.0,2.0,0.079,Lower Interest Rate
1247,20000,20000,60 months,credit_card,0.129,PA,OWN,6666.67,697.0,17,8039,1.0,6.0,0.1825,Higher Interest Rate
1248,12000,11975,60 months,debt_consolidation,0.17629999999999998,VA,RENT,3500.0,717.0,11,18808,0.0,5.0,0.1074,Lower Interest Rate
1249,2800,2800,36 months,educational,0.0796,MD,MORTGAGE,4158.0,807.0,12,562,0.0,8.0,0.07400000000000001,Lower Interest Rate
1250,14400,14400,36 months,debt_consolidation,0.2441,PA,MORTGAGE,5833.33,687.0,9,25515,5.0,8.0,0.1426,Normal Interest Rate
1251,16500,16500,36 months,credit_card,0.1105,CT,MORTGAGE,7250.0,727.0,8,17247,2.0,12.0,0.11710000000000001,Normal Interest Rate
1252,9500,9500,36 months,debt_consolidation,0.2772,CO,OWN,5000.0,737.0,4,18393,1.0,6.0,0.08900000000000001,Lower Interest Rate
1253,11200,11200,36 months,debt_consolidation,0.1215,FL,RENT,2666.67,677.0,9,5666,1.0,12.0,0.158,Higher Interest Rate
1254,9200,9200,36 months,debt_consolidation,0.1542,WI,MORTGAGE,12833.33,677.0,12,17391,0.0,2.0,0.1261,Normal Interest Rate
1255,4950,4950,36 months,debt_consolidation,0.1411,CA,MORTGAGE,4166.67,667.0,15,8379,0.0,5.0,0.1367,Normal Interest Rate
1256,21000,21000,60 months,credit_card,0.2587,AK,RENT,9166.67,677.0,25,17811,1.0,5.0,0.247,Higher Interest Rate
1257,5000,5000,36 months,other,0.0636,CA,RENT,3083.33,667.0,8,4680,4.0,5.0,0.1461,Higher Interest Rate
1258,20000,19975,60 months,debt_consolidation,0.24050000000000002,MD,MORTGAGE,7416.67,707.0,11,14944,1.0,3.0,0.1629,Higher Interest Rate
1259,19000,18975,36 months,debt_consolidation,0.19829999999999998,CA,RENT,4548.83,777.0,12,33809,1.0,5.0,0.1114,Lower Interest Rate
1260,12000,12000,36 months,debt_consolidation,0.24480000000000002,MI,OWN,3333.33,667.0,12,16984,0.0,12.0,0.1777,Higher Interest Rate
1261,20950,20950,60 months,major_purchase,0.08900000000000001,IL,RENT,6666.67,747.0,7,5680,1.0,1.0,0.1367,Normal Interest Rate
1262,21000,21000,36 months,small_business,0.1653,NY,MORTGAGE,18750.0,702.0,13,120538,0.0,12.0,0.11109999999999999,Lower Interest Rate
1263,4000,4000,60 months,other,0.0263,CO,MORTGAGE,9417.0,707.0,5,13865,0.0,5.0,0.1223,Normal Interest Rate
1264,12800,12800,60 months,debt_consolidation,0.0672,CT,MORTGAGE,4166.67,727.0,7,11992,1.0,1.0,0.1149,Normal Interest Rate
1265,20000,19975,36 months,debt_consolidation,0.21420000000000003,CO,RENT,5000.0,682.0,12,24352,1.0,0.5,0.15810000000000002,Higher Interest Rate
1266,7925,7925,36 months,debt_consolidation,0.2125,GA,RENT,2000.0,667.0,6,7840,0.0,6.0,0.1629,Higher Interest Rate
1267,15000,15000,36 months,credit_card,0.2828,OH,MORTGAGE,6666.67,692.0,15,14880,0.0,12.0,0.1016,Lower Interest Rate
1268,15000,15000,36 months,debt_consolidation,0.0768,VA,RENT,4583.0,677.0,10,15821,0.0,2.0,0.15990000000000001,Higher Interest Rate
1269,5600,5600,36 months,debt_consolidation,0.1833,NY,RENT,2870.33,692.0,6,5033,2.0,5.0,0.1349,Normal Interest Rate
1270,30000,29950,60 months,debt_consolidation,0.1923,NY,MORTGAGE,9250.0,707.0,15,45880,1.0,8.0,0.1677,Higher Interest Rate
1271,10000,10000,36 months,credit_card,0.258,CA,RENT,2833.33,702.0,8,6521,0.0,7.0,0.1114,Lower Interest Rate
1272,5800,5800,36 months,credit_card,0.0698,MA,RENT,5208.33,762.0,7,4965,0.0,4.0,0.0603,Lower Interest Rate
1273,11575,11575,36 months,debt_consolidation,0.1747,TX,MORTGAGE,2833.33,732.0,8,5654,0.0,12.0,0.079,Lower Interest Rate
1274,7000,7000,36 months,credit_card,0.0141,FL,RENT,12500.0,727.0,4,5093,0.0,7.0,0.079,Lower Interest Rate
1275,1700,1700,36 months,car,0.20670000000000002,NY,OWN,1200.0,677.0,10,7382,0.0,4.0,0.1399,Normal Interest Rate
1277,14000,14000,36 months,debt_consolidation,0.11380000000000001,NY,MORTGAGE,4500.0,707.0,22,18583,0.0,5.0,0.12119999999999999,Normal Interest Rate
1278,12000,12000,36 months,other,0.0785,VA,RENT,6666.67,722.0,11,4428,2.0,9.0,0.1114,Lower Interest Rate
1279,30000,29950,60 months,debt_consolidation,0.2192,CT,RENT,10416.67,687.0,11,61661,1.0,7.0,0.1972,Higher Interest Rate
1280,11200,11200,36 months,debt_consolidation,0.1307,GA,MORTGAGE,8500.0,722.0,9,5439,1.0,3.0,0.0791,Lower Interest Rate
1281,10000,10000,36 months,debt_consolidation,0.1962,CA,RENT,3640.0,697.0,11,13124,0.0,12.0,0.12119999999999999,Normal Interest Rate
1282,17475,17475,60 months,debt_consolidation,0.22949999999999998,IL,MORTGAGE,4583.33,687.0,13,15852,3.0,12.0,0.1905,Higher Interest Rate
1283,16500,16500,36 months,debt_consolidation,0.2723,NY,RENT,4583.33,762.0,11,8176,1.0,1.0,0.079,Lower Interest Rate
1284,7500,7500,36 months,credit_card,0.1597,WV,RENT,4833.33,702.0,8,3908,2.0,5.0,0.1367,Normal Interest Rate
1285,8000,7875,36 months,other,0.151,FL,OWN,3833.33,737.0,4,13415,0.0,6.0,0.1148,Normal Interest Rate
